Fuel: 0.000000
Altitude:0.000000
x:0.000000
0.000000
y:0.000000
0.000000
0:0.000000
0.000000
Thrust:0.000000
Rotn:0.000000
Fuel: 96.741997
Altitude:-0.002025
x:341.256378
0.000000
y:597.000000
0.000000
0:0.000000
0.000000
Thrust:0.000000
Rotn:0.000000
Fuel: 96.741997
Altitude:-0.002025
x:341.256378
0.000000
y:597.000000
0.000000
0:0.000000
0.000000
Thrust:0.000000
Rotn:0.000000
Fuel: 96.741997
Altitude:-0.002025
x:341.256378
0.000000
y:597.000000
0.000000
0:0.000000
0.000000
Thrust:0.000000
Rotn:0.000000
Fuel: 100.000000
Altitude:537.603088
x:107.000000
10.000000
y:57.396900
11.134000
0:0.000000
0.000000
Thrust:0.000000
Rotn:0.000000
Fuel: 99.987999
Altitude:529.937195
x:116.000000
10.000000
y:68.062798
12.556000
0:0.000000
0.000000
Thrust:22.000000
Rotn:0.000000
Fuel: 99.711998
Altitude:526.247681
x:126.506126
10.028247
y:81.752304
13.429955
0:9.000000
0.000000
Thrust:30.000000
Rotn:1.000000
Fuel: 99.397003
Altitude:517.677429
x:137.262329
10.585008
y:96.322548
14.419226
0:67.500000
0.000000
Thrust:30.000000
Rotn:0.400000
Fuel: 99.126999
Altitude:501.142487
x:147.138092
11.372129
y:109.857498
15.716276
0:94.500000
0.000000
Thrust:30.000000
Rotn:0.700000
Fuel: 98.808998
Altitude:484.627380
x:159.558807
12.287755
y:127.372604
17.675411
0:106.199997
0.000000
Thrust:32.000000
Rotn:-0.100000
Fuel: 98.278000
Altitude:468.012421
x:173.122009
13.841560
y:146.987564
19.724159
0:99.900002
0.000000
Thrust:88.000000
Rotn:-0.100000
Fuel: 97.399002
Altitude:440.438721
x:186.731628
16.456247
y:165.561295
21.517076
0:94.500000
0.000000
Thrust:100.000000
Rotn:-0.100000
Fuel: 96.348999
Altitude:416.879272
x:205.662247
19.603586
y:189.120743
23.300491
0:88.199997
0.000000
Thrust:100.000000
Rotn:-0.000000
Fuel: 95.299004
Altitude:385.572662
x:227.898941
22.752031
y:214.427338
24.902548
0:88.199997
0.000000
Thrust:100.000000
Rotn:-0.000000
Fuel: 94.399002
Altitude:357.542450
x:249.590179
25.450699
y:237.457565
26.275740
0:88.199997
0.000000
Thrust:100.000000
Rotn:-0.000000
Fuel: 93.348999
Altitude:330.111847
x:277.966339
28.599144
y:265.888153
27.877796
0:88.199997
0.000000
Thrust:100.000000
Rotn:0.100000
Fuel: 92.448997
Altitude:300.380249
x:304.919983
31.294477
y:291.619751
29.380371
0:102.599998
0.000000
Thrust:100.000000
Rotn:1.000000
Fuel: 91.399002
Altitude:272.789825
x:339.134827
33.498383
y:324.210175
33.107964
0:165.600006
0.000000
Thrust:100.000000
Rotn:1.000000
Fuel: 90.397003
Altitude:238.565567
x:374.179749
32.775101
y:361.434448
37.577412
0:228.600006
0.000000
Thrust:78.000000
Rotn:1.000000
Fuel: 89.695000
Altitude:192.696915
x:402.839050
30.822912
y:396.303070
39.613255
0:279.899994
0.000000
Thrust:78.000000
Rotn:0.400000
Fuel: 88.875999
Altitude:147.556931
x:433.967529
28.448532
y:438.443085
40.821106
0:258.299988
0.000000
Thrust:78.000000
Rotn:-1.000000
Fuel: 88.066002
Altitude:95.161949
x:462.774292
26.718369
y:482.838043
44.052551
0:195.300003
0.000000
Thrust:76.000000
Rotn:-1.000000
Fuel: 87.592003
Altitude:68.119232
x:486.801147
26.844776
y:523.880798
46.880562
0:142.199997
0.000000
Thrust:28.000000
Rotn:-0.900000
Fuel: 87.297997
Altitude:14.726207
x:515.352295
27.574011
y:574.273804
49.059311
0:127.800003
0.000000
Thrust:28.000000
Rotn:1.000000
Fuel: 87.003998
Altitude:-0.000975
x:525.040405
0.000000
y:590.000000
0.000000
0:0.000000
0.000000
Thrust:28.000000
Rotn:1.000000
Fuel: 86.751999
Altitude:-0.000975
x:525.040405
0.000000
y:590.000000
0.000000
0:0.000000
0.000000
Thrust:28.000000
Rotn:1.000000
Fuel: 86.458000
Altitude:-0.000975
x:525.040405
0.000000
y:590.000000
0.000000
0:0.000000
0.000000
Thrust:28.000000
Rotn:1.000000
Fuel: 86.164001
Altitude:-0.000975
x:525.040405
0.000000
y:590.000000
0.000000
0:0.000000
0.000000
Thrust:28.000000
Rotn:1.000000
Fuel: 85.912003
Altitude:-0.000975
x:525.040405
0.000000
y:590.000000
0.000000
0:0.000000
0.000000
Thrust:28.000000
Rotn:1.000000
Fuel: 85.617996
Altitude:-0.000975
x:525.040405
0.000000
y:590.000000
0.000000
0:0.000000
0.000000
Thrust:28.000000
Rotn:1.000000
Fuel: 85.365997
Altitude:-0.000975
x:525.040405
0.000000
y:590.000000
0.000000
0:0.000000
0.000000
Thrust:28.000000
Rotn:1.000000
Fuel: 85.071999
Altitude:-0.000975
x:525.040405
0.000000
y:590.000000
0.000000
0:0.000000
0.000000
Thrust:28.000000
Rotn:1.000000
Fuel: 84.778000
Altitude:-0.000975
x:525.040405
0.000000
y:590.000000
0.000000
0:0.000000
0.000000
Thrust:28.000000
Rotn:1.000000
Fuel: 84.526001
Altitude:-0.000975
x:525.040405
0.000000
y:590.000000
0.000000
